Town,County,Pop,Land,Water,Latitude,Longitude,GEO ID,ANSI code
Catskill,Greene,11775,60.439,3.726,42.208688,-73.938888,3603913013,978803
Cayuta,Schuyler,556,20.319,0,42.271993,-76.684886,3609713112,978805
Cazenovia,Madison,7086,49.87,1.844,42.915928,-75.861962,3605313156,978806
Centerville,Allegany,822,35.435,0.047,42.474965,-78.267693,3600313475,978807
Champion,Jefferson,4494,44.184,0.889,43.973154,-75.706123,3604513717,978808
Champlain,Clinton,5754,51.231,7.585,44.966280,-73.436895,3601913750,978809
Charleston,Montgomery,1373,41.89,0.973,42.824767,-74.355772,3605713816,978810
Charlotte,Chautauqua,1729,36.432,0,42.304888,-79.237368,3601313860,978811
Charlton,Saratoga,4133,32.774,0.188,42.957874,-73.991978,3609113926,978812
Chateaugay,Franklin,2155,49.789,0.012,44.930509,-74.076284,3603313992,978813
Chatham,Columbia,4128,53.227,0.316,42.425582,-73.582076,3602114014,978814
Chautauqua,Chautauqua,4464,67.099,0.094,42.241757,-79.506691,3601314069,978815
Chazy,Clinton,4284,54.153,7.163,44.856518,-73.460741,3601914113,978816
Cheektowaga,Erie,88226,29.423,0.063,42.910021,-78.741821,3602915011,978817
Chemung,Chemung,2563,49.479,0.562,42.055631,-76.605721,3601515077,978818
Chenango,Broome,11252,33.834,0.434,42.215645,-75.902254,3600715110,978819
Cherry Creek,Chautauqua,1118,36.632,0.013,42.302111,-79.122244,3601315198,978820
Cherry Valley,Otsego,1223,40.375,0.007,42.808922,-74.722042,3607715253,978821
Chester,Orange,11981,25.049,0.151,41.330239,-74.276925,3607115308,978822
Chester,Warren,3355,84.19,2.86,43.689036,-73.873783,3611315319,978823
Chesterfield,Essex,2445,79.036,26.336,44.453432,-73.448719,3603115330,978824
Chili,Monroe,28625,39.499,0.369,43.085609,-77.745242,3605515462,978825
Cicero,Onondaga,31632,48.274,0.191,43.172142,-76.056249,3606715704,978826
Cincinnatus,Cortland,1056,25.356,0.129,42.530670,-75.913769,3602315748,978827
Clare,St. Lawrence,105,96.557,0.698,44.356596,-75.013141,3608915792,978828
Clarence,Erie,30673,53.503,0.132,43.024707,-78.645674,3602915825,978829
Clarendon,Orleans,3648,35.219,0,43.174402,-78.056338,3607315880,978830
Clarkson,Monroe,6736,33.183,0.005,43.245062,-77.932451,3605515957,978831
Clarkstown,Rockland,84187,38.475,8.593,41.134184,-73.965733,3608715968,978832
